game_id,date,home_team,away_team,actual_h1,predicted_h1,error,abs_error,actual_fg,h1_fg_ratio
401166022,2019-11-07,Ohio State Buckeyes,Cincinnati Bearcats,45,65.0,20.0,20.0,120,0.375
401166414,2019-11-07,Arizona Wildcats,Northern Arizona Lumberjacks,66,64.9,-1.0999999999999943,1.0999999999999943,143,0.46153846153846156
401166023,2019-11-07,Purdue Boilermakers,Green Bay Phoenix,57,67.8,10.799999999999997,10.799999999999997,136,0.41911764705882354
401175914,2019-11-08,Marshall Thundering Herd,Robert Morris Colonials,60,65.5,5.5,5.5,127,0.47244094488188976
401171546,2019-11-08,Hartford Hawks,Winthrop Eagles,62,64.7,2.700000000000003,2.700000000000003,124,0.5
401171520,2019-11-08,Clemson Tigers,Presbyterian Blue Hose,64,63.2,-0.7999999999999972,0.7999999999999972,124,0.5161290322580645
401170342,2019-11-08,North Florida Ospreys,Florida National Conquistadors,73,65.5,-7.5,7.5,170,0.4294117647058823
401166024,2019-11-08,Rutgers Scarlet Knights,Bryant Bulldogs,68,62.2,-5.799999999999997,5.799999999999997,144,0.4722222222222222
401176061,2019-11-08,Samford Bulldogs,Kentucky Wesleyan Panthers,54,69.5,15.5,15.5,110,0.4909090909090909
401174699,2019-11-08,Troy Trojans,UAB Blazers,56,63.6,7.600000000000001,7.600000000000001,151,0.3708609271523179
401170559,2019-11-08,Washington State Cougars,Seattle U Redhawks,64,64.7,0.7000000000000028,0.7000000000000028,139,0.460431654676259
401166415,2019-11-08,Air Force Falcons,Idaho State Bengals,73,68.0,-5.0,5.0,168,0.43452380952380953
401169808,2019-11-09,Kentucky Wildcats,Eastern Kentucky Colonels,71,67.4,-3.5999999999999943,3.5999999999999943,140,0.5071428571428571
401169601,2019-11-09,Kansas Jayhawks,UNC Greensboro Spartans,68,62.6,-5.399999999999999,5.399999999999999,136,0.5
401168162,2019-11-09,Duke Blue Devils,Colorado State Rams,68,67.5,-0.5,0.5,144,0.4722222222222222
401168164,2019-11-09,UNC Wilmington Seahawks,North Carolina Tar Heels,69,63.7,-5.299999999999997,5.299999999999997,140,0.4928571428571429
401169788,2019-11-09,Xavier Musketeers,Siena Saints,75,65.1,-9.900000000000006,9.900000000000006,144,0.5208333333333334
401169810,2019-11-09,LSU Tigers,Bowling Green Falcons,82,72.8,-9.200000000000003,9.200000000000003,167,0.49101796407185627
401170106,2019-11-09,VCU Rams,North Texas Mean Green,52,60.7,8.700000000000003,8.700000000000003,115,0.45217391304347826
401166028,2019-11-10,Maryland Terrapins,Rhode Island Rams,67,65.5,-1.5,1.5,128,0.5234375
401175206,2019-11-10,Gonzaga Bulldogs,Arkansas-Pine Bluff Golden Lions,86,70.1,-15.900000000000006,15.900000000000006,170,0.5058823529411764
401168442,2019-11-09,Seton Hall Pirates,Stony Brook Seawolves,64,63.5,-0.5,0.5,131,0.48854961832061067
401166030,2019-11-10,Purdue Boilermakers,Texas Longhorns,65,59.6,-5.399999999999999,5.399999999999999,136,0.47794117647058826
401166054,2019-11-11,Michigan State Spartans,Binghamton Bearcats,77,68.9,-8.099999999999994,8.099999999999994,147,0.5238095238095238
401168168,2019-11-10,Florida Gators,Florida State Seminoles,46,66.0,20.0,20.0,114,0.40350877192982454
401168171,2019-11-10,Virginia Cavaliers,James Madison Dukes,54,58.5,4.5,4.5,99,0.5454545454545454
401166055,2019-11-10,Ohio State Buckeyes,UMass Lowell River Hawks,63,70.8,7.799999999999997,7.799999999999997,132,0.4772727272727273
401169934,2019-11-11,Arizona Wildcats,Illinois Fighting Illini,77,64.6,-12.400000000000006,12.400000000000006,159,0.48427672955974843
401171548,2019-11-12,Saint Mary's Gaels,Winthrop Eagles,51,68.2,17.200000000000003,17.200000000000003,120,0.425
401169817,2019-11-13,Kentucky Wildcats,Evansville Purple Aces,64,65.0,1.0,1.0,131,0.48854961832061067
401175210,2019-11-13,Gonzaga Bulldogs,North Dakota Fighting Hawks,91,71.8,-19.200000000000003,19.200000000000003,163,0.558282208588957
401173654,2019-11-13,Utah State Aggies,Denver Pioneers,80,65.2,-14.799999999999997,14.799999999999997,153,0.5228758169934641
401170570,2019-11-13,Washington Huskies,Mount St. Mary's Mountaineers,42,61.5,19.5,19.5,102,0.4117647058823529
