========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Brown Bears @ Colgate Raiders (pointsbetus): spread=-6.5, total=148.5, h1_spread=None, h1_total=None
    Brown Bears @ Colgate Raiders (barstool): spread=-6.5, total=149.5, h1_spread=-3.5, h1_total=None
    Brown Bears @ Colgate Raiders (betrivers): spread=-6.5, total=149.5, h1_spread=-3.0, h1_total=None
    Brown Bears @ Colgate Raiders (unibet_us): spread=-6.5, total=149.5, h1_spread=-3.0, h1_total=None
    Brown Bears @ Colgate Raiders (twinspires): spread=-6.5, total=149.5, h1_spread=None, h1_total=None
    Brown Bears @ Colgate Raiders (fanduel): spread=-6.5, total=148.5, h1_spread=-3.5, h1_total=70.5
    Brown Bears @ Colgate Raiders (lowvig): spread=-6.5, total=149.0, h1_spread=None, h1_total=None
    Brown Bears @ Colgate Raiders (bovada): spread=-6.5, total=149.0, h1_spread=-4.0, h1_total=71.0
    Brown Bears @ Colgate Raiders (williamhill_us): spread=-6.5, total=149.0, h1_spread=-4.0, h1_total=70.5
    Brown Bears @ Colgate Raiders (superbook): spread=-6.5, total=149.5, h1_spread=None, h1_total=None
    Brown Bears @ Colgate Raiders (betmgm): spread=-6.5, total=148.5, h1_spread=None, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (draftkings): spread=6.5, total=141.5, h1_spread=4.0, h1_total=66.5
    Delaware Blue Hens @ Bucknell Bison (pointsbetus): spread=6.0, total=141.5, h1_spread=None, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (twinspires): spread=6.0, total=141.0, h1_spread=None, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (unibet_us): spread=6.0, total=141.0, h1_spread=3.0, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (betrivers): spread=6.0, total=141.0, h1_spread=3.0, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (barstool): spread=6.5, total=141.5, h1_spread=3.5, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (fanduel): spread=5.5, total=141.5, h1_spread=3.5, h1_total=66.5
    Delaware Blue Hens @ Bucknell Bison (lowvig): spread=5.5, total=141.5, h1_spread=None, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (bovada): spread=6.0, total=141.5, h1_spread=3.5, h1_total=66.5
    Delaware Blue Hens @ Bucknell Bison (williamhill_us): spread=6.0, total=141.0, h1_spread=3.5, h1_total=66.5
    Delaware Blue Hens @ Bucknell Bison (superbook): spread=6.0, total=141.0, h1_spread=None, h1_total=None
    Delaware Blue Hens @ Bucknell Bison (betmgm): spread=6.5, total=141.5, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (draftkings): spread=-11.0, total=134.0, h1_spread=-6.5, h1_total=63.0
    Central Connecticut St Blue Devils @ Rhode Island Rams (pointsbetus): spread=-10.0, total=134.0, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (twinspires): spread=-11.0, total=134.0, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (unibet_us): spread=-11.0, total=134.0, h1_spread=-7.0, h1_total=None
