========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2025 (2024-11-01 to 2025-04-30)
 March Madness window: 2025-03-15 to 2025-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o5
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2024-11-01...
  [API] Requests remaining: 23357592
  Found 7 events
    Wright St Raiders @ Kentucky Wildcats (bovada): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (betus): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.5
    Monmouth Hawks @ Michigan St Spartans (lowvig): spread=-20.0, total=142.0, h1_spread=None, h1_total=None
    Monmouth Hawks @ Michigan St Spartans (betonlineag): spread=-20.0, total=142.0, h1_spread=-12.0, h1_total=67.0
    Monmouth Hawks @ Michigan St Spartans (fanduel): spread=-20.5, total=142.5, h1_spread=None, h1_total=None
    Monmouth Hawks @ Michigan St Spartans (betmgm): spread=-19.5, total=143.5, h1_spread=None, h1_total=None
    Monmouth Hawks @ Michigan St Spartans (draftkings): spread=-20.0, total=143.0, h1_spread=None, h1_total=None
    Monmouth Hawks @ Michigan St Spartans (bovada): spread=-20.0, total=143.0, h1_spread=-12.0, h1_total=67.0
    Monmouth Hawks @ Michigan St Spartans (betus): spread=-20.0, total=143.5, h1_spread=-11.5, h1_total=67.0
    Monmouth Hawks @ Michigan St Spartans (betrivers): spread=-19.5, total=142.5, h1_spread=None, h1_total=None
    Texas A&M Aggies @ UCF Knights (fanduel): spread=6.5, total=143.5, h1_spread=2.5, h1_total=67.5
    Texas A&M Aggies @ UCF Knights (betrivers): spread=5.5, total=144.0, h1_spread=None, h1_total=None
    Texas A&M Aggies @ UCF Knights (draftkings): spread=6.5, total=144.0, h1_spread=3.0, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (lowvig): spread=6.0, total=144.0, h1_spread=None, h1_total=None
    Texas A&M Aggies @ UCF Knights (betonlineag): spread=6.0, total=144.0, h1_spread=3.0, h1_total=68.0
    Texas A&M Aggies @ UCF Knights (betmgm): spread=6.5, total=143.5, h1_spread=None, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (bovada): spread=6.0, total=144.5, h1_spread=3.0, h1_total=68.5
    Texas A&M Aggies @ UCF Knights (betus): spread=6.0, total=144.5, h1_spread=3.0, h1_total=68.0
    Jackson St Tigers @ Houston Cougars (draftkings): spread=-36.5, total=137.5, h1_spread=-21.5, h1_total=65.5
    Jackson St Tigers @ Houston Cougars (fanduel): spread=-36.5, total=137.5, h1_spread=-21.5, h1_total=65.5
    Jackson St Tigers @ Houston Cougars (betmgm): spread=-36.5, total=136.5, h1_spread=None, h1_total=65.5
    Jackson St Tigers @ Houston Cougars (betrivers): spread=-36.5, total=137.5, h1_spread=None, h1_total=None
    Jackson St Tigers @ Houston Cougars (lowvig): spread=-36.5, total=137.5, h1_spread=None, h1_total=None
    Jackson St Tigers @ Houston Cougars (betonlineag): spread=-36.5, total=137.5, h1_spread=None, h1_total=None
    Jackson St Tigers @ Houston Cougars (bovada): spread=-36.0, total=135.5, h1_spread=-21.0, h1_total=65.0
    Howard Bison @ Kansas Jayhawks (draftkings): spread=-27.0, total=154.5, h1_spread=-16.5, h1_total=73.5
    Howard Bison @ Kansas Jayhawks (fanduel): spread=-27.5, total=155.5, h1_spread=-16.5, h1_total=73.5
    Howard Bison @ Kansas Jayhawks (betmgm): spread=-27.5, total=155.5, h1_spread=None, h1_total=73.5
    Howard Bison @ Kansas Jayhawks (betrivers): spread=-26.5, total=155.5, h1_spread=None, h1_total=None
    Howard Bison @ Kansas Jayhawks (betonlineag): spread=-27.5, total=156.0, h1_spread=None, h1_total=None
    Howard Bison @ Kansas Jayhawks (lowvig): spread=-27.5, total=156.0, h1_spread=None, h1_total=None
    Howard Bison @ Kansas Jayhawks (bovada): spread=-27.5, total=154.0, h1_spread=-17.0, h1_total=74.5
    Miss Valley St Delta Devils @ Iowa State Cyclones (draftkings): spread=-46.5, total=133.5, h1_spread=None, h1_total=None
    Miss Valley St Delta Devils @ Iowa State Cyclones (betonlineag): spread=-43.0, total=135.0, h1_spread=None, h1_total=None
    Miss Valley St Delta Devils @ Iowa State Cyclones (lowvig): spread=-43.0, total=135.0, h1_spread=None, h1_total=None
    Miss Valley St Delta Devils @ Iowa State Cyclones (betmgm): spread=-43.5, total=133.5, h1_spread=None, h1_total=None
    Miss Valley St Delta Devils @ Iowa State Cyclones (fanduel): spread=-45.5, total=133.5, h1_spread=-27.5, h1_total=64.5
    Miss Valley St Delta Devils @ Iowa State Cyclones (bovada): spread=-44.5, total=134.0, h1_spread=-26.5, h1_total=63.0
    Miss Valley St Delta Devils @ Iowa State Cyclones (betrivers): spread=-44.5, total=134.0, h1_spread=-21.0, h1_total=63.0
    Missouri Tigers @ Memphis Tigers (fanduel): spread=-3.5, total=154.5, h1_spread=-1.5, h1_total=72.5
    Missouri Tigers @ Memphis Tigers (betrivers): spread=-3.0, total=155.0, h1_spread=-1.5, h1_total=None
    Missouri Tigers @ Memphis Tigers (draftkings): spread=-3.5, total=154.5, h1_spread=-2.0, h1_total=73.5
    Missouri Tigers @ Memphis Tigers (betonlineag): spread=-3.5, total=153.5, h1_spread=-2.0, h1_total=73.5
    Missouri Tigers @ Memphis Tigers (lowvig): spread=-3.5, total=153.5, h1_spread=None, h1_total=None
    Missouri Tigers @ Memphis Tigers (betmgm): spread=-4.5, total=154.5, h1_spread=None, h1_total=73.5
    Missouri Tigers @ Memphis Tigers (bovada): spread=-4.0, total=154.0, h1_spread=-2.0, h1_total=73.5
    Missouri Tigers @ Memphis Tigers (betus): spread=-3.5, total=154.5, h1_spread=-2.0, h1_total=73.5
    Wichita St Shockers @ Western Kentucky Hilltoppers (fanduel): spread=-1.5, total=152.5, h1_spread=-0.5, h1_total=72.5
    Wichita St Shockers @ Western Kentucky Hilltoppers (lowvig): spread=0.0, total=152.5, h1_spread=None, h1_total=None
    Wichita St Shockers @ Western Kentucky Hilltoppers (betonlineag): spread=0.0, total=152.5, h1_spread=0.0, h1_total=72.5
    Wichita St Shockers @ Western Kentucky Hilltoppers (betmgm): spread=1.5, total=152.5, h1_spread=None, h1_total=72.5
    Wichita St Shockers @ Western Kentucky Hilltoppers (betrivers): spread=-1.0, total=153.5, h1_spread=None, h1_total=None
    Wichita St Shockers @ Western Kentucky Hilltoppers (draftkings): spread=-1.0, total=153.0, h1_spread=-0.5, h1_total=73.0
    Wichita St Shockers @ Western Kentucky Hilltoppers (bovada): spread=-1.0, total=153.5, h1_spread=-0.5, h1_total=73.0
    Wichita St Shockers @ Western Kentucky Hilltoppers (betus): spread=0.0, total=153.0, h1_spread=0.0, h1_total=72.5
    Florida Gators @ South Florida Bulls (draftkings): spread=11.0, total=152.0, h1_spread=5.5, h1_total=71.5
    Florida Gators @ South Florida Bulls (betonlineag): spread=10.5, total=152.5, h1_spread=5.5, h1_total=71.5
    Florida Gators @ South Florida Bulls (lowvig): spread=10.5, total=152.5, h1_spread=None, h1_total=None
    Florida Gators @ South Florida Bulls (fanduel): spread=10.5, total=152.5, h1_spread=5.5, h1_total=72.5
    Florida Gators @ South Florida Bulls (betmgm): spread=10.5, total=151.5, h1_spread=None, h1_total=72.5
    Florida Gators @ South Florida Bulls (betrivers): spread=10.5, total=152.5, h1_spread=5.5, h1_total=71.5
    Florida Gators @ South Florida Bulls (bovada): spread=11.5, total=152.5, h1_spread=6.0, h1_total=72.0
    Florida Gators @ South Florida Bulls (betus): spread=10.5, total=152.0, h1_spread=5.5, h1_total=71.5
    LIU Sharks @ Ole Miss Rebels (draftkings): spread=-30.0, total=149.0, h1_spread=-17.0, h1_total=71.0
    LIU Sharks @ Ole Miss Rebels (betmgm): spread=-29.5, total=149.5, h1_spread=None, h1_total=71.5
    LIU Sharks @ Ole Miss Rebels (lowvig): spread=-30.0, total=149.5, h1_spread=None, h1_total=None
    LIU Sharks @ Ole Miss Rebels (betonlineag): spread=-30.0, total=149.5, h1_spread=None, h1_total=None
    LIU Sharks @ Ole Miss Rebels (betrivers): spread=-29.0, total=149.0, h1_spread=None, h1_total=None
    LIU Sharks @ Ole Miss Rebels (fanduel): spread=-28.5, total=149.5, h1_spread=-17.5, h1_total=70.5
    LIU Sharks @ Ole Miss Rebels (bovada): spread=-29.5, total=148.0, h1_spread=-16.5, h1_total=70.5
    Stony Brook Seawolves @ Marquette Golden Eagles (draftkings): spread=-23.0, total=148.0, h1_spread=-14.0, h1_total=70.0
    Stony Brook Seawolves @ Marquette Golden Eagles (lowvig): spread=-23.0, total=147.5, h1_spread=None, h1_total=None
    Stony Brook Seawolves @ Marquette Golden Eagles (betonlineag): spread=-23.0, total=147.5, h1_spread=-14.0, h1_total=70.5
    Stony Brook Seawolves @ Marquette Golden Eagles (fanduel): spread=-23.5, total=147.5, h1_spread=-13.5, h1_total=69.5
    Stony Brook Seawolves @ Marquette Golden Eagles (betmgm): spread=-23.5, total=148.5, h1_spread=None, h1_total=70.5
